rowid,stationid,city,chinese,latitude,longitude,pm25,pm10,o3,no2 ,so2,co,useless1,useless2,useless3,useless4,useless5,useless6,time
140877,47,Shanghai,_Ù__µà,31.202842,121.453493,156,60,31,21,7,6,13,11,1014,91,4,2.01E+13,1396314000
141257,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,300,122,12,29,39,20,19,8,1014,49,9,2.01E+13,1396321200
141728,965,Chongqing,_öçë_æ,29.560161,106.555275,78,32,8,23,8,8,14,13,1017,94,4,2.01E+13,1396332000
141781,36,Beijing,ë‘ã__Œ,39.955906,116.474246,185,79,8,38,24,6,20,2,1013,30,2,2.01E+13,1396342800
141793,47,Shanghai,_Ù__µà,31.202842,121.453493,109,51,30,22,6,6,18,12,1014,68,3,2.01E+13,1396342800
142173,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,0,11,49,12,10,,24,2,1009,24,7,2.01E+13,1396350000
142643,965,Chongqing,_öçë_æ,29.560161,106.555275,119,63,4,29,11,9,13,12,1013,94,0,2.01E+13,1396360800
142696,36,Beijing,ë‘ã__Œ,39.955906,116.474246,171,99,47,31,17,6,15,3,1010,45,2,2.01E+13,1396371600
142708,47,Shanghai,_Ù__µà,31.202842,121.453493,119,55,37,40,6,6,13,9,1014,81,1,2.01E+13,1396371600
143088,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,206,0,23,22,16,10,17,5,1011,45,7,2.01E+13,1396378800
143559,965,Chongqing,_öçë_æ,29.560161,106.555275,127,52,1,22,9,13,13,12,1012,94,2,2.01E+13,1396389600
143612,36,Beijing,ë‘ã__Œ,39.955906,116.474246,210,144,13,50,14,5,15,5,1013,51,4,2.01E+13,1396400400
143624,47,Shanghai,_Ù__µà,31.202842,121.453493,144,54,22,26,4,5,13,12,1015,95,5,2.01E+13,1396400400
144004,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,193,105,16,27,28,9,19,4,1014,37,2,2.01E+13,1396407600
144475,965,Chongqing,_öçë_æ,29.560161,106.555275,107,41,6,17,30,11,17,13,1014,77,7,2.01E+13,1396418400
144528,36,Beijing,ë‘ã__Œ,39.955906,116.474246,167,95,41,14,16,5,21,-1,1015,23,16,2.01E+13,1396429200
144540,47,Shanghai,_Ù__µà,31.202842,121.453493,87,45,33,16,6,5,18,13,1013,72,2,2.01E+13,1396429200
144920,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,183,158,22,33,26,16,13,0,1017,41,20,2.01E+13,1396436400
145391,965,Chongqing,_öçë_æ,29.560161,106.555275,117,61,18,40,13,9,16,12,1015,77,9,2.01E+13,1396447200
145444,36,Beijing,ë‘ã__Œ,39.955906,116.474246,155,89,39,19,11,5,14,0,1022,38,9,2.01E+13,1396458000
145456,47,Shanghai,_Ù__µà,31.202842,121.453493,139,48,28,40,7,5,14,12,1014,89,3,2.01E+13,1396458000
145836,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,91,64,15,11,3,6,10,0,1023,50,9,2.01E+13,1396465200
146307,965,Chongqing,_öçë_æ,29.560161,106.555275,132,63,1,22,8,12,13,11,1017,88,4,2.01E+13,1396476000
146360,36,Beijing,ë‘ã__Œ,39.955906,116.474246,38,13,16,13,3,4,7,-16,1026,18,4,2.01E+13,1396486800
146372,47,Shanghai,_Ù__µà,31.202842,121.453493,152,47,24,25,6,4,14,13,1014,92,2,2.01E+13,1396486800
146752,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,112,82,14,13,4,6,17,-13,1024,12,18,2.01E+13,1396494000
